Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ANITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ANITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_votedfor: DEDE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_votedfor: ANITA 
Description: The Tigo Cash user did not approve the payment request in time., Amount_Billed: 1.2 , Contestant_votedfor: DEDE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: SITA 
Description: The MTN Mobile Money payment failed., Amount_Billed: 6 , Contestant_votedfor: GAZA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: GAZA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: GAZA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: KATE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: OWUO 
Description: The MTN Mobile Money payment failed., Amount_Billed: 30 , Contestant_votedfor: KATE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: KATE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: BB 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_votedfor: KASI 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: BB 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: DEDE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: EDINA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: DEDE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: DEDE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: KASI 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: SITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: BB 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: BB 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: KASI 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: MAAME 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: MAAME 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: AMA BA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: KASI 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: MERCY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_votedfor: MERCY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: KATE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 300 , Contestant_votedfor: MERCY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 300 , Contestant_votedfor: MERCY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: KASI 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: SUZZY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: SUZZY 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: SUZZY 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: ETORNAM 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_votedfor: MERCY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: DEDE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 600.0 , Contestant_votedfor: MERCY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: DEDE 
Description: MTN Exception: Account Holder with FRI Not Found, Amount_Billed: 12 , Contestant_votedfor: AMA BA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_votedfor: SHOE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: BB 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_votedfor: SHOE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: BB 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: SITA 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ANITA 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_votedfor: DEDE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ANITA 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: ROSE 
