Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_votedfor: GAZA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ANITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ANITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ANITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ANITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_votedfor: GAZA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: MAAME 
Description: The MTN Mobile Money payment failed., Amount_Billed: 120 , Contestant_votedfor: MAAME 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_votedfor: OWUO 
Description: The MTN Mobile Money payment failed., Amount_Billed: 12 , Contestant_votedfor: SITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_votedfor: OWUO 
Description: The MTN Mobile Money payment failed., Amount_Billed: 300 , Contestant_votedfor: OWUO 
Description: The MTN Mobile Money payment failed., Amount_Billed: 300 , Contestant_votedfor: OWUO 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: MAAME 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: MAAME 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_votedfor: MAAFIA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_votedfor: GAZA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: DEDE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_votedfor: DEDE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: DEDE 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_votedfor: MAAFIA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_votedfor: DEDE 
